"id","TypeCode","Type","Name","WardCode","Ward","createdBy","createdDate","lastModifiedBy","lastModifiedDate"
"4a7c9a07-389e-42de-84ca-fff353e50898","1","Town Panchayat","Melamadai (CT)","20CT0701W","Melamadai (CT) WARD NO.-0001","System","2022-10-15 10:04:26.49793+00","","2022-10-15 10:04:26.49793+00"
"4afbbde5-25ab-4ba3-88af-c4a1f2415acf","2","Municipality","Melur (M)","20MU0121W","Melur (M) WARD NO.-0020","System","2022-10-15 10:04:26.500918+00","","2022-10-15 10:04:26.500918+00"
"4b335f01-53a7-44c0-8f3a-3ca8b7addca4","1","Town Panchayat","Elumalai (TP)","20TP0318W","Elumalai (TP) WARD NO.-0018","System","2022-10-15 10:04:26.499928+00","","2022-10-15 10:04:26.499928+00"
"4befe13c-3ccd-4341-82b1-d1c7c3a060ef","1","Town Panchayat","Sholavandan (TP)","20TP0707W","Sholavandan (TP) WARD NO.-0007","System","2022-10-15 10:04:26.498924+00","","2022-10-15 10:04:26.498924+00"
"4c31c489-1bb7-4c82-b21a-5f8c0a9bcf57","1","Town Panchayat","Sholavandan (TP)","20TP0702W","Sholavandan (TP) WARD NO.-0002","System","2022-10-15 10:04:26.498924+00","","2022-10-15 10:04:26.498924+00"
"4d384152-b885-4759-b2a2-dcc8f8bbba3a","2","Municipality","Thirumangalam (M)","20MU0221W","Thirumangalam (M) WARD NO.-0021","System","2022-10-15 10:04:26.500918+00","","2022-10-15 10:04:26.500918+00"
"4dd2e472-151e-47d8-b9ae-73bd76e1ac78","1","Town Panchayat","Palamedu (TP)","20TP0512W","Palamedu (TP) WARD NO.-0012","System","2022-10-15 10:04:26.498924+00","","2022-10-15 10:04:26.498924+00"
"4e1c0549-5b7c-4c4d-aae7-70f0baff49bf","1","Town Panchayat","Peraiyur (TP)","20TP0615W","Peraiyur (TP) WARD NO.-0015","System","2022-10-15 10:04:26.499928+00","","2022-10-15 10:04:26.499928+00"
"4ecf6b1f-f7dc-4ab1-a8cf-7b20e89ea5dc","3","Corporation","Zone 4- South","20MC0147W","Madurai (M Corp.) WARD NO.-0047","System","2022-10-15 10:04:26.501845+00","","2022-10-15 10:04:26.501845+00"
"4f300199-21a1-42f3-87e4-8f10a70efbeb","3","Corporation","Zone 2-  North","20MC0164W","Madurai (M Corp.) WARD NO.-0064","System","2022-10-15 10:04:26.501845+00","","2022-10-15 10:04:26.501845+00"
